# Region type :  patch inlet
# Faces          : 70
# Area           : 9.8000000000e-03
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
3.69697          	-3.7552192527e-02
3.70202          	-3.7549893126e-02
3.70707          	-3.7547593141e-02
3.71212          	-3.7545294327e-02
3.71717          	-3.7542994854e-02
3.72222          	-3.7540696565e-02
3.72727          	-3.7538397698e-02
3.73232          	-3.7536099982e-02
3.73737          	-3.7533801729e-02
3.74242          	-3.7531504565e-02
3.74747          	-3.7529204096e-02
3.75253          	-3.7526911259e-02
3.75758          	-3.7524611972e-02
3.76263          	-3.7522317474e-02
3.76768          	-3.7520020116e-02
3.77273          	-3.7517724972e-02
3.77778          	-3.7515428749e-02
3.78283          	-3.7513133906e-02
3.78788          	-3.7510838423e-02
3.79293          	-3.7508544037e-02
3.79798          	-3.7506249164e-02
3.80303          	-3.7503955302e-02
3.80808          	-3.7501658294e-02
3.81313          	-3.7499368824e-02
3.81818          	-3.7497072915e-02
3.82323          	-3.7494781529e-02
3.82828          	-3.7492487767e-02
3.83333          	-3.7490196021e-02
3.83838          	-3.7487903546e-02
3.84343          	-3.7485611559e-02
3.84848          	-3.7483319264e-02
3.85354          	-3.7481028828e-02
3.85859          	-3.7478737394e-02
3.86364          	-3.7476446469e-02
3.86869          	-3.7474155198e-02
3.87374          	-3.7471866048e-02
3.87879          	-3.7469575698e-02
3.88384          	-3.7467285567e-02
3.88889          	-3.7464995984e-02
3.89394          	-3.7462707148e-02
3.89899          	-3.7460418355e-02
3.90404          	-3.7458130053e-02
3.90909          	-3.7455840744e-02
3.91414          	-3.7453553882e-02
3.91919          	-3.7451265667e-02
3.92424          	-3.7448978156e-02
3.92929          	-3.7446690156e-02
3.93434          	-3.7444404273e-02
3.93939          	-3.7442116954e-02
3.94444          	-3.7439831474e-02
3.94949          	-3.7437545047e-02
